flight,from,status,scheduled_time,day
AC 4189,LAS,On Time,12:48 PM,tomorrow
CO 7540,LAS,On Time,12:48 PM,tomorrow
US 7321,LAS,On Time,12:48 PM,tomorrow
WN 3469,ONT,On Time,1:45 PM,tomorrow
LH 9315,LAS,On Time,3:00 PM,tomorrow
ZK 5133,LBL,On Time,12:55 PM,tomorrow
US 7687,LNK,On Time,1:34 PM,tomorrow
WN 2768,SJC,On Time,12:30 PM,tomorrow
WN 2064,SMF,On Time,2:00 PM,tomorrow
CO 6643,LAX,On Time,2:24 PM,tomorrow
NZ 9072,LAX,On Time,2:24 PM,tomorrow
US 6236,LAX,On Time,2:24 PM,tomorrow
AC 5712,LAX,On Time,2:24 PM,tomorrow
US 7607,MSN,On Time,2:47 PM,tomorrow
CO 8101,MAF,On Time,2:44 PM,tomorrow
FL 642,MSP,On Time,2:26 PM,tomorrow
US 7966,MSP,On Time,1:00 PM,tomorrow
AC 4607,MSP,On Time,1:00 PM,tomorrow
CO 7919,MSP,On Time,1:00 PM,tomorrow
WN 3860,MSP,On Time,2:50 PM,tomorrow
ZK 5038,CNY,On Time,1:25 PM,tomorrow
US 7166,MLI,On Time,2:31 PM,tomorrow
US 7676,MTJ,On Time,1:33 PM,tomorrow
US 6209,LGA,On Time,12:41 PM,tomorrow
CO 6440,LGA,On Time,12:41 PM,tomorrow
CO 228,EWR,On Time,1:00 PM,tomorrow
ZK 5136,LBF,On Time,1:07 PM,tomorrow
WN 2999,OAK,On Time,1:45 PM,tomorrow
WN 2946,DAL,On Time,12:45 PM,tomorrow
US 6071,OKC,On Time,2:23 PM,tomorrow
AC 5957,OKC,On Time,2:23 PM,tomorrow
LH 9115,OKC,On Time,2:23 PM,tomorrow
CO 6860,OKC,On Time,2:23 PM,tomorrow
US 7863,OMA,On Time,12:48 PM,tomorrow
AC 4906,OMA,On Time,12:48 PM,tomorrow
CO 7808,OMA,On Time,12:48 PM,tomorrow
WN 2779,MDW,On Time,1:00 PM,tomorrow
US 7669,SNA,On Time,2:44 PM,tomorrow
CO 7654,SNA,On Time,2:44 PM,tomorrow
AC 4520,SNA,On Time,2:44 PM,tomorrow
US 6872,MCO,On Time,12:40 PM,tomorrow
CO 6356,MCO,On Time,12:40 PM,tomorrow
AC 5073,MCO,On Time,12:40 PM,tomorrow
AC 4128,PSP,On Time,1:57 PM,tomorrow
WN 1830,BUR,On Time,12:05 PM,tomorrow
US 7653,PHX,On Time,2:26 PM,tomorrow
LH 9245,PHX,On Time,2:26 PM,tomorrow
AC 4353,PHX,On Time,2:26 PM,tomorrow
CO 7850,PHX,On Time,2:26 PM,tomorrow
CO 7520,PDX,On Time,2:49 PM,tomorrow
US 7218,PDX,On Time,2:49 PM,tomorrow
ZK 5153,PUB,On Time,2:04 PM,tomorrow
CO 7926,RAP,On Time,1:00 PM,tomorrow
AC 5034,RNO,On Time,2:50 PM,tomorrow
LH 9309,RNO,On Time,2:50 PM,tomorrow
US 6170,RNO,On Time,2:50 PM,tomorrow
CO 6887,RNO,On Time,2:50 PM,tomorrow
ZK 5093,RIW,On Time,2:35 PM,tomorrow
ZK 5116,RKS,On Time,1:20 PM,tomorrow
CO 7552,SMF,On Time,2:40 PM,tomorrow
US 6913,SMF,On Time,2:40 PM,tomorrow
AC 4314,SMF,On Time,2:40 PM,tomorrow
LH 8998,SMF,On Time,2:40 PM,tomorrow
WN 1442,MCO,On Time,12:40 PM,tomorrow
AC 4897,ORD,On Time,12:54 PM,tomorrow
US 7609,ORD,On Time,12:54 PM,tomorrow
WN 2026,GEG,On Time,2:00 PM,tomorrow
US 7823,SAT,On Time,1:01 PM,tomorrow
AC 4944,SAT,On Time,1:01 PM,tomorrow
LH 9135,SAT,On Time,1:01 PM,tomorrow
CO 7879,SAT,On Time,1:01 PM,tomorrow
WN 1188,SJC,On Time,1:20 PM,tomorrow
LH 9075,SAN,On Time,2:54 PM,tomorrow
CO 6471,SAN,On Time,2:54 PM,tomorrow
US 6350,SAN,On Time,2:54 PM,tomorrow
AC 5856,SAN,On Time,2:54 PM,tomorrow
CO 6586,SGN,On Time,2:34 PM,tomorrow
NZ 9526,SGN,On Time,2:34 PM,tomorrow
US 6066,SGN,On Time,2:34 PM,tomorrow
NH 7320,SGN,On Time,2:34 PM,tomorrow
AC 5252,SGN,On Time,2:34 PM,tomorrow
WN 2163,SFO,On Time,2:35 PM,tomorrow
ZK 5112,BFF,On Time,12:23 PM,tomorrow
WN 1817,SEA,On Time,2:15 PM,tomorrow
ZK 5100,SHR,On Time,2:51 PM,tomorrow
US 7919,FSD,On Time,1:51 PM,tomorrow
LH 8747,GEG,On Time,2:43 PM,tomorrow
US 7824,GEG,On Time,2:43 PM,tomorrow
CO 7571,GEG,On Time,2:43 PM,tomorrow
US 7646,SGF,On Time,2:21 PM,tomorrow
US 7702,HDN,On Time,1:39 PM,tomorrow
ZK 5083,TEX,On Time,2:08 PM,tomorrow
CO 7578,TUL,On Time,12:54 PM,tomorrow
US 7066,TUL,On Time,12:54 PM,tomorrow
WN 2093,CLE,On Time,1:05 PM,tomorrow
US 6890,EGE,On Time,1:44 PM,tomorrow
CO 6447,IAD,On Time,12:58 PM,tomorrow
US 6253,IAD,On Time,12:58 PM,tomorrow
US 6125,IAD,On Time,2:24 PM,tomorrow
CO 6489,IAD,On Time,2:24 PM,tomorrow
US 7692,ICT,On Time,1:18 PM,tomorrow,,,
